岭兜佳园-软件园,思明,3900
家家海景-软件园,思明,5500
家家海景-软件园,思明,5500
岭兜小区-软件园,思明,3300
岭兜佳园-软件园,思明,1500
善见豪山-观音山,思明,2500
何厝小区-观音山,思明,2500
嘉盛豪园-瑞景,思明,1100
嘉盛豪园-莲前东路,思明,1000
水晶国际-观音山,思明,6000
嘉盛豪园-瑞景,思明,1250
address,area,price
宝龙一城-软件园,思明,2800
万达SOHO-万达广场,湖里,2200
华永天地大厦-台湾街,湖里,2500
卧龙晓城二期-莲前,思明,4500
金鸡亭-金鸡亭,思明,2700
龙山山庄二期-莲前,思明,5300
禹洲云顶国际-莲前西路,思明,8000
卧龙晓城二期-莲前,思明,2700
云顶花园-莲前,思明,2600
金鸡亭花园小区-金鸡亭,思明,2800
蔡塘社区-软件园,思明,2200
蔡塘社区-软件园,思明,2100
蔡塘社区-软件园,思明,2100
蔡塘社区-软件园,思明,2100
蔡塘社区-软件园,思明,2100
蔡塘社区-软件园,思明,1800
蔡塘社区-软件园,思明,1800
蔡塘社区-软件园,思明,1900
卧龙晓城-莲前西路,思明,2700
金鸡亭花园式小区-莲前西路,思明,2800
瑞景嘉盛豪园-莲前东路,思明,1400
卧龙晓城二期-莲前,思明,4500
金鸡亭-金鸡亭,思明,2700
龙山山庄二期-莲前,思明,5300
禹洲云顶国际-莲前西路,思明,8000
卧龙晓城二期-莲前,思明,2700
云顶花园-莲前,思明,2600
金鸡亭花园小区-金鸡亭,思明,2800
蔡塘社区-软件园,思明,2200
蔡塘社区-软件园,思明,2100
蔡塘社区-软件园,思明,2100
蔡塘社区-软件园,思明,2100
蔡塘社区-软件园,思明,2100
蔡塘社区-软件园,思明,1800
蔡塘社区-软件园,思明,1800
蔡塘社区-软件园,思明,1900
蔡塘社区-软件园,思明,2800
蔡塘社区-软件园,思明,2800
蔡塘社区-软件园,思明,1900
蔡塘社区-软件园,思明,1900
善见豪山-观音山,思明,2600
港澳中心-白鹭洲路,思明,11000
富山女人街-富山,思明,1250
富山女人街-富山,思明,4800
摩登时代-松柏,思明,2500
东坪花园-火车站,思明,4000
源昌商业中心-富山,思明,5000
裕发广场-富山,思明,2900
官邸大厦-火车站,思明,2600
珍珠湾花园-珍珠湾,思明,15000
金鸡亭-莲前西路,思明,2800
嘉盛豪园-瑞景,思明,1700
嘉盛豪园-瑞景,思明,900
嘉盛豪园-瑞景,思明,1400
嘉盛豪园-瑞景,思明,900
嘉盛豪园-莲前东路,思明,2000
家家海景-软件园,思明,4200
香山碧海晴空-软件园,思明,2700
水晶国际-软件园,思明,1600
软件园二期-软件园,思明,2900
香山碧海晴空-软件园,思明,1000
尚青春国际公寓-东浦路,思明,1000
卧龙晓城-莲前,思明,4100
嘉华大厦-长青路,思明,2600
宝龙中心一期-松柏,思明,3500
涵光路17-19号小区-富山,思明,2600
莲坂西小区-富山,思明,2000
岭兜小区-前埔北区,思明,3100
岭兜佳园小区-前埔南区,思明,3300
岭兜佳园-软件园,思明,3000
岭兜小区-软件园,思明,3800
明发园-软件园,思明,1400
卧龙晓城-槟榔东里,思明,4200
明发园-前埔北区,思明,4200
华尔顿1275-软件园,思明,6800
何厝小区-观音山,思明,3200
何厝小区-观音山,思明,3500
岭兜佳园-软件园,思明,1300
何厝小区-观音山,思明,3200
何厝小区-观音山,思明,3500
岭兜佳园-软件园,思明,1300
岭兜二里-软件园,思明,3900
明发园-软件园,思明,2000
何厝小区-观音山,思明,3600
何厝小区-观音山,思明,4200
观音山公寓-观音山,思明,5000
新景数码港-富山,思明,1650
新景世纪城A区-富山,思明,1500
复兴世纪-富山,思明,3000
富山名士园-富山,思明,1700
新景数码港-富山,思明,1300
古龙商城-禾祥西路,思明,7000
聚祥广场-禾祥西路,思明,12000
