address,area,price
哈西-西典家园,南岗,2000
哈西-西典家园,南岗,2500
哈西-爱达九溪,南岗,600
哈西-柒零捌零城仕公馆,南岗,2200
学府-保利清华颐园,南岗,1500
哈西-柒零捌零城仕公馆,南岗,1900
哈西-学府经典,南岗,1600
学府-沙曼小区五街区,南岗,1900
和兴路-南开华府,南岗,750
哈西-芦家街小区,南岗,1600
十字街-辰能溪树庭院(商住楼),南岗,2500
哈西-警校小区,南岗,3800
哈站-金域蓝城,南岗,1200
哈西-爱达尊御,南岗,1500
哈西-学府经典,南岗,2900
学府-大成街小区,南岗,800
儿童公园-东方新天地,南岗,1200
哈西-壹品新境,南岗,1000
哈西-清明小区,南岗,42000
和兴路-八一新邨,南岗,1350
西大直街-壹品新境,南岗,1900
哈西-学府经典,南岗,1850
学府-金域蓝城,南岗,3300
哈西-大众新城,南岗,2600
大众新城-君贵东方瑞景,南岗,1500
哈西-一曼街168号小区,南岗,3000
博物馆-辰能溪树庭院(商住楼),南岗,1100
哈西-金丰优豪斯,南岗,2600
革新-金域蓝城,南岗,1650
哈西-阳光绿色家园,南岗,1550
信恒现代城-天悦国际,南岗,1600
哈西-学府花园,南岗,600
学府-鸿朗花园(二期),南岗,650
哈西-爱达壹号,南岗,1100
哈西-中海雍景熙岸,南岗,4000
哈西,南岗,2500
哈西-金域蓝城,南岗,1800
哈西-爱达九溪,南岗,800
哈西-壹品新境,南岗,830
哈西-君贵东方瑞景,南岗,900
哈西-中海雍景熙岸,南岗,2500
哈西-壹品新境,南岗,2000
哈西-红星城,南岗,1650
和兴路-利兴小区,南岗,1200
哈西-恒大珺庭,南岗,3000
和兴路-和兴小区,南岗,650
哈西-鸿朗花园(二期),南岗,1100
征仪路-征仪路花园小区(B区),南岗,1800
学府-学府经典,南岗,2000
和兴路-沙曼小区二街区,南岗,750
哈西-爱达九溪,南岗,2580
博物馆-人和街106号小区,南岗,800
哈西-西典家园(北区),南岗,2550
海河路-泰海花园小区,南岗,450
和兴路-和兴商厦,南岗,700
哈西-万达华宅(E区),南岗,350
哈西-红星城,南岗,1900
哈西-万达华宅(E区),南岗,800
哈西-悦城,南岗,2000
哈达-征仪花园小区(F区),南岗,2300
哈西-中交香颂,南岗,2300
哈西-天悦国际,南岗,650
哈西-壹品新境,南岗,1800
红旗大街南岗段-红旗新区(南岗),南岗,550
哈西-金域蓝城,南岗,800
船舶-中发郦苑,南岗,1300
哈西-爱达尊御,南岗,2200
医大一院-医大一家属楼,南岗,1300
哈西-鸿朗花园(二期),南岗,1300
哈站-机务小区,南岗,1200
宣化-蓝天嘉园,南岗,2800
哈西-万达华宅(E区),南岗,900
哈西-爱达壹号,南岗,900
哈西-鸿朗花园(二期),南岗,1000
南岗周边-鑫泉金岗湾,南岗,1600
哈西-西典家园,南岗,2000
比乐街-分乐小区,南岗,1100
船舶-红河一街区,南岗,200
哈西-南郡香醍雅诺(二期),南岗,6000
哈西-鸿朗花园(二期),南岗,1300
信恒现代城-信恒现代城清园,南岗,1500
哈西-壹品新境,南岗,1800
保健路-盟科涵舍,南岗,2000
哈西-涧桥西畔,南岗,700
黄河路-鼎新小区,南岗,700
学府-学府经典,南岗,950
信恒现代城-信恒现代城美园,南岗,1500
哈西-爱达壹号,南岗,2700
儿童公园-比乐街小区,南岗,2500
学府-学府经典,南岗,2200
哈西-纳帕英郡,南岗,750
哈西-辰能溪树庭院(北区),南岗,2500
文昌街-文海溪畔,南岗,2100
哈西-天悦国际,南岗,780
学府-哈医大二院家属楼,南岗,1000
哈西-君贵东方瑞景,南岗,3000
哈西-爱达九溪,南岗,600
哈西-东方新天地,南岗,2499
学府-北华家园,南岗,999
哈西-金域蓝城,南岗,2200
红旗大街南岗段-红旗新区(南岗),南岗,1400
哈西-辰能溪树庭院(南区),南岗,2200
学府-英伦名邸,南岗,4500
哈西-西城丽景,南岗,1600
工人文化宫-宏泽中央公园,南岗,1900
哈西-东辉明珠园,南岗,600
哈西-西城丽景,南岗,1600
哈西-鸿朗花园,南岗,1200
哈西-东辉明珠园,南岗,600
哈西-辰能溪树庭院(商住楼),南岗,300
哈西-天悦国际,南岗,1600
和兴路-文兴街23号小区,南岗,1800
哈西-辰能溪树庭院(北区),南岗,3000
哈西-万达华宅(F区),南岗,300
学府-福顺尚都,南岗,2100
哈西-西典家园,南岗,1000
儿童公园-新永和街58号小区,南岗,1200
红旗大街南岗段-红旗新区(南岗),南岗,1000
哈西-金爵万象(二三期),南岗,700
工人文化宫-比乐街小区(比乐街143...,南岗,3000
宣庆-宣西小区,南岗,1600
博物馆-西大直街267号小区,南岗,850
哈西-金水尚都(西区),南岗,2200
和兴路-恒祥城(三期),南岗,600
哈西-金域蓝城,南岗,2200
哈西-爱达88,南岗,1200
哈西-辰能溪树庭院(北区),南岗,3000
哈西-东辉明珠园,南岗,2300
哈西-华润凯旋门,南岗,750
和兴路-林兴小区,南岗,1000
哈西-爱达壹号,南岗,850
哈西-中交香颂,南岗,2350
哈西-南开华府,南岗,800
学府-学府花园,南岗,2400
哈西-爱达88,南岗,2600
哈西-保利清华颐园,南岗,260
哈西-纳帕英郡,南岗,2800
哈西-辰能溪树庭院(商住楼),南岗,4150
省政府南岗片-国土住宅小区（华山路）,南岗,10833
征仪路-四季芳洲,南岗,699
哈西-涧桥西畔,南岗,2000
哈西-华润凯旋门,南岗,750
海河路-泰海花园小区,南岗,450
哈西-爱达壹号,南岗,850
哈西-纳帕英郡,南岗,890
哈西-金域蓝城,南岗,2500
哈西-辰能溪树庭院(商住楼),南岗,300
哈西-爱达壹号,南岗,2500
哈西-东辉明珠园,南岗,750
果戈里-果戈里大街208号小区,南岗,499
征仪路-四季芳洲,南岗,650
哈西-爱达壹号,南岗,2600
学府-学府花园,南岗,2300
学府-学府经典,南岗,1800
哈西-辰能溪树庭院(商住楼),南岗,300
哈西-天悦国际,南岗,1000
哈西-辰能溪树庭院(商住楼),南岗,300
哈西-金域蓝城,南岗,1500
哈西-辰能溪树庭院(商住楼),南岗,300
学府-学府经典,南岗,1200
哈西-辰能溪树庭院(商住楼),南岗,300
哈西-君贵东方瑞景,南岗,2800
哈西-辰能溪树庭院(商住楼),南岗,300
哈西-金域蓝城,南岗,2500
哈西-辰能溪树庭院(商住楼),南岗,300
儿童公园-永和街38号院,南岗,499
哈西-辰能溪树庭院(商住楼),南岗,300
哈西-南开华府,南岗,800
哈西-辰能溪树庭院(商住楼),南岗,300
哈西-爱达88,南岗,2600
哈西-辰能溪树庭院(商住楼),南岗,300
哈西-纳帕英郡,南岗,2800
哈西-辰能溪树庭院(商住楼),南岗,300
省政府南岗片-国土住宅小区（华山路）,南岗,10833
哈西-辰能溪树庭院(商住楼),南岗,300
哈西-涧桥西畔,南岗,2000
哈西-金水尚都(西区),南岗,2200
哈西-辰能溪树庭院(商住楼),南岗,300
哈西-金域蓝城,南岗,2200
哈西-辰能溪树庭院(商住楼),南岗,300
哈西-辰能溪树庭院(北区),南岗,3000
哈西-辰能溪树庭院(商住楼),南岗,300
哈西-华润凯旋门,南岗,750
哈西-辰能溪树庭院(商住楼),南岗,300
哈西-爱达壹号,南岗,850
哈西-辰能溪树庭院(商住楼),南岗,300
哈西-君贵东方瑞景,南岗,2800
博物馆-松明街37号小区,南岗,300
哈西-南开华府,南岗,800
学府-黑大家属楼小区,南岗,1400
哈西-爱达88,南岗,2600
哈西-西沟街小区,南岗,900
哈西-纳帕英郡,南岗,2800
和兴路-世纪嘉园,南岗,500
省政府南岗片-国土住宅小区（华山路）,南岗,10833
教化-桥北新城,南岗,2000
哈西-涧桥西畔,南岗,2000
保健路-金域蓝城,南岗,1550
哈西-壹品新境,南岗,1500
哈西-辰能溪树庭院(南区),南岗,800
哈西-金域蓝城,南岗,3500
哈西-大众新城(东区),南岗,800
学府-保利清华颐园,南岗,2100
哈西-西典家园(北区),南岗,2000
哈西-木工街3号小区,南岗,1800
博物馆-辽阳街53号小区,南岗,2000
辽阳街-福顺尚都,南岗,1580
学府-木兰小区,南岗,1700
通达街-西典家园(北区),南岗,1000
哈西-信恒现代城靓园,南岗,1900
信恒现代城,南岗,400
哈西-涧桥西畔,南岗,2000
西大直街-桥西住宅小区,南岗,200
哈西-金域蓝城,南岗,1500
西大直街-桥西住宅小区,南岗,200
哈西-辰能溪树庭院(南区),南岗,3500
西大直街-桥西住宅小区,南岗,200
学府-大众新城(东区),南岗,2100
哈西-恒大珺庭,南岗,3000
哈西-西典家园(北区),南岗,1800
哈西-壹品新境,南岗,1800
辽阳街-辽阳街53号小区,南岗,1580
学府-学府花园,南岗,1900
通达街-木兰小区,南岗,1000
红旗大街南岗段-红旗新区(南岗),南岗,1000
信恒现代城-信恒现代城靓园,南岗,400
信恒现代城-信恒现代城靓园,南岗,600
哈西-金域蓝城,南岗,1500
和兴路-文兴街23号小区,南岗,1300
哈西-恒大珺庭,南岗,600
儿童公园-鞍山街小区(双号),南岗,1500
哈西-天悦国际,南岗,1750
学府-创建小区,南岗,1950
哈西-鸿朗花园(二期),南岗,1000
哈西-西典家园,南岗,600
宣庆-宣西小区,南岗,2000
西大直街-宏桥小区,南岗,760
哈西-西典家园,南岗,550
信恒现代城-哈房天木小区,南岗,2400
哈西-西典家园,南岗,2300
博物馆-华威大厦,南岗,6666
哈西-金爵万象(二三期),南岗,5834
光芒街-和平邨社区,南岗,1300
学府-创建小区,南岗,600
哈西-东方新天地,南岗,2100
学府-学府经典,南岗,1800
哈西-恒大珺庭,南岗,600
哈西-爱达壹号,南岗,1200
哈西-天悦国际,南岗,1750
工人文化宫-永和街小区,南岗,1300
哈西-鸿朗花园(二期),南岗,1000
哈西-爱达壹号,南岗,1200
宣庆-宣西小区,南岗,2000
哈西-中海雍景熙岸,南岗,2350
哈西-西典家园,南岗,550
哈西-西典家园,南岗,600
哈西-西典家园,南岗,2300
哈西-金域蓝城,南岗,2000
哈西-金爵万象(二三期),南岗,5834
十字街-海富金棕榈,南岗,1200
学府-创建小区,南岗,600
哈达-鲁商凤凰城,南岗,2000
学府-学府经典,南岗,1800
秋林-继红校区房,南岗,1650
哈西-西典家园,南岗,2100
宣庆-宣西小区,南岗,1100
哈西-恒大珺庭,南岗,2600
哈西-辰能溪树庭院(北区),南岗,200
哈西-西典家园(北区),南岗,930
哈西-恒大珺庭,南岗,3500
哈西-柒零捌零城仕公馆,南岗,2200
哈西-金域蓝城三期深蓝杰座,南岗,800
哈西-枫蓝国际,南岗,600
和兴路-利兴小区,南岗,1100
哈西-巴黎第五区,南岗,3200
通达街-元士街小区(通达街2-2...,南岗,900
哈西-辰能溪树庭院(北区),南岗,3000
哈西-金爵万象(二三期),南岗,750
哈西-尚熙雅轩,南岗,1500
哈西-西典家园,南岗,950
哈西-爱达九溪,南岗,699
哈西-巴黎第五区,南岗,3200
哈西-华润凯旋门,南岗,800
哈西-辰能溪树庭院(北区),南岗,3000
哈西-壹品新境,南岗,700
哈西-尚熙雅轩,南岗,1500
哈西-天悦国际,南岗,700
哈西-爱达九溪,南岗,699
革新-革新街248号小区,南岗,450
哈西-尚熙雅轩,南岗,1900
哈西-金域蓝城,南岗,1000
哈西-壹品新境,南岗,750
哈西-爱达壹号,南岗,1000
哈西-爱达九溪,南岗,2600
哈西-西城丽景,南岗,1900
学府-学府经典,南岗,2400
哈西-东方新天地,南岗,900
哈西-金域蓝城,南岗,1500
省政府南岗片-文林小区,南岗,1000
哈西-金域蓝城,南岗,1999
哈西-爱达壹号,南岗,3000
哈西-黑龙江省政法管理干部学院...,南岗,1700
省政府南岗片-省政府住宅楼,南岗,1600
哈西-涧桥西畔,南岗,2300
博物馆-一曼街29-2号小区,南岗,1200
哈西-东方新天地,南岗,2499
学府-学府名苑,南岗,2300
征仪路-征仪路花园小区(B区),南岗,750
哈西-壹品新境,南岗,1700
哈西-金域蓝城,南岗,1400
省政府南岗片-第四方园里3号院,南岗,1300
教化-汉祥家园,南岗,1900
征仪路-金博花园,南岗,750
哈西-万达华宅(F区),南岗,3500
和兴路-仪兴小区(西区),南岗,1400
哈西-爱达尊御,南岗,2400
哈西-金域蓝城,南岗,1400
红旗大街南岗段-红旗新区(南岗),南岗,1300
教化-汉祥家园,南岗,1900
学府-学府经典(三期),南岗,1800
哈西-万达华宅(F区),南岗,3500
哈西-壹品新境,南岗,3800
哈西-爱达尊御,南岗,2400
黄河路-宣威街小区,南岗,2500
黄河路-鼎新小区,南岗,750
大众新城-学府三道街27号小区,南岗,1500
学府-学府经典,南岗,1000
儿童公园-永和街22号院,南岗,750
哈西-爱达尊御,南岗,2300
儿童公园-永和街22号院,南岗,750
哈西-东方新天地,南岗,2200
哈西-壹品新境,南岗,1800
哈西-爱达壹号,南岗,2700
海河路-泰海花园小区,南岗,450
哈西-爱达壹号,南岗,2500
海河路-泰海花园小区,南岗,450
哈西-鸿朗花园(二期),南岗,1800
海河路-泰海花园小区,南岗,450
哈西-爱达尊御,南岗,2200
海河路-泰海花园小区,南岗,450
哈西-辰能溪树庭院(商住楼),南岗,4000
哈西-巴黎第五区,南岗,4000
哈西-壹品新境,南岗,1800
哈西-华闻大厦,南岗,3500
学府-学府经典,南岗,1800
海河路-泰海花园小区,南岗,450
哈西-东方新天地,南岗,780
海河路-泰海花园小区,南岗,450
船舶-星源国际,南岗,3800
黄河路-锦秀小区,南岗,5000
哈西-阳光家园(南区),南岗,2200
船舶-星源国际,南岗,4600
哈西-爱达尊御,南岗,2000
哈西-阳光家园(南区),南岗,2200
哈西-西典家园,南岗,290
哈西-中海雍景熙岸,南岗,4400
哈西-爱达88,南岗,2600
哈西-涧桥西畔,南岗,700
哈站-上方小区,南岗,2000
哈西-壹品新境,南岗,3800
红旗大街南岗段-红旗新区(南岗),南岗,3400
哈西-南开华府,南岗,3100
哈西-爱达壹号,南岗,2100
哈西-爱达尊御,南岗,2488
哈西-爱达九溪,南岗,150
哈西-中海雍景熙岸,南岗,2400
光芒街-光芒街63号院,南岗,3400
哈西-壹品新境,南岗,4500
和兴路-纳帕英郡,南岗,3000
哈西-上方小区,南岗,4000
哈站-华风海城湾,南岗,3000
文府街-盟科观邸,南岗,2460
船舶-涧桥西畔,南岗,3000
哈西-沙曼小区五街区,南岗,2300
和兴路-纳帕英郡,南岗,3900
哈西-爱达壹号(商住楼),南岗,4000
哈西-征仪路花园小区(A区),南岗,2500
学府-万达华宅(E区),南岗,3600
哈西-恒大珺庭,南岗,800
哈西-第二方圆里小区,南岗,4000
省政府南岗片-柒零捌零城仕公馆,南岗,3650
哈西-丽景春天,南岗,2400
哈西-鸿朗花园(二期),南岗,3040
哈西-木兰小区,南岗,3000
通达街-东辉明珠园,南岗,3000
哈西,南岗,650
学府-学府经典,南岗,2300
宣庆-宣西小区,南岗,1400
哈西-万达华宅(E区),南岗,700
博物馆-木工街3号小区,南岗,800
哈西-恒大珺庭,南岗,2600
西大直街-通达住宅小区,南岗,1100
学府-学府经典,南岗,800
哈西-保利颐和家园,南岗,2500
学府-学府经典,南岗,2000
和兴路-林园小区丽麓园,南岗,800
保健路-黑大芳洲园,南岗,600
哈西-壹品新境,南岗,2200
哈西-西典家园,南岗,2500
哈西-中国地震局工程力学研究所...,南岗,1300
哈西-西典家园,南岗,2300
哈西-金爵万象(二三期),南岗,750
哈西-万达华宅(E区),南岗,2800
哈西-壹品新境,南岗,240
哈西-尚熙雅轩,南岗,600
儿童公园-芦家街51号院,南岗,650
哈西-东方新天地,南岗,780
省人才-宣信小区,南岗,200
哈西-保利清华颐园,南岗,2500
儿童公园-新发小区(F区),南岗,550
哈西-东方新天地,南岗,780
省人才-宣庆小区,南岗,200
哈西-恒大珺庭,南岗,2800
征仪路-大众嘉园,南岗,1800
哈西-东辉明珠园,南岗,4000
学府-福顺尚都,南岗,1900
省人才-宣信小区,南岗,1500
哈西-爱达壹号(商住楼),南岗,1050
和兴路-林园小区丽麓园,南岗,1100
南岗周边-骏赫庄园(别墅),南岗,1400
哈西-鸿朗花园,南岗,1450
哈西-君贵东方瑞景,南岗,2600
博物馆-光芒街22号小区,南岗,1500
哈西-金爵万象(二三期),南岗,700
信恒现代城-盟科视界,南岗,2000
哈西-保利清华颐园,南岗,1800
和兴三道街-清滨花园,南岗,2300
哈西-涧桥西畔,南岗,900
哈西-万达华宅(F区),南岗,650
哈西-东方新天地,南岗,930
哈西-南开华府,南岗,700
哈西-尚熙雅轩,南岗,780
西大直街-西桥住宅小区,南岗,3500
哈西-南开华府,南岗,1800
哈西-西典家园,南岗,748
宣庆-宣西小区,南岗,1700
哈西-天悦国际,南岗,600
哈西-金爵万象(二三期),南岗,700
学府-学府尚居,南岗,1500
哈西-西典家园,南岗,1600
哈西-西沟街小区,南岗,1350
哈西-辰能溪树庭院(北区),南岗,3200
儿童公园-龙江街小区,南岗,450
学府-学府经典,南岗,1800
东大直街-文化小区,南岗,1200
哈西-柒零捌零城仕公馆,南岗,1700
船舶-金河小区,南岗,600
哈西-西典家园,南岗,2000
省政府南岗片-三文小区,南岗,1300
哈西-东方新天地,南岗,780
保健路-林科家园,南岗,1750
哈西-金域蓝城,南岗,1600
宣化-蓝天嘉园,南岗,750
哈达-征仪路花园小区(C区),南岗,1800
十字街-十字小区,南岗,500
哈西-万达华府(南岗),南岗,3500
哈西-万达华府(南岗),南岗,3500
船舶-中发郦苑,南岗,900
哈西-壹品新境,南岗,1800
儿童公园-人和街小区,南岗,600
哈西-爱达88,南岗,2650
哈西-爱达九溪,南岗,600
哈西-辰能溪树庭院(北区),南岗,2500
信恒现代城-盟科视界,南岗,1500
学府-福顺尚都,南岗,2100
西大直街-公司街小区,南岗,1500
哈西-辰能溪树庭院(商住楼),南岗,4800
西大直街-汉祥街46号小区,南岗,1300
省政府南岗片-文林小区,南岗,1200
红旗大街南岗段-红旗新区(南岗),南岗,1500
哈西-辰能溪树庭院(南区),南岗,2300
哈达-鲁商凤凰城,南岗,2400
哈西-辰能溪树庭院(南区),南岗,550
博物馆-西大直街267号小区,南岗,1400
哈西-东方新天地,南岗,2300
信恒现代城-信恒现代城美园,南岗,1300
哈西-爱达尊御,南岗,2200
哈西-西溪橡园,南岗,500
哈西-爱达88,南岗,2700
西大直街-新曲线小区,南岗,1200
哈西-涧桥西畔,南岗,850
哈西-壹品新境,南岗,1800
信恒现代城-信恒现代城清园,南岗,2000
教化-复华小区,南岗,750
学府-学府经典,南岗,1900
哈西-东辉明珠园,南岗,2500
信恒现代城-信恒现代城美园,南岗,1500
哈西-爱达88,南岗,1500
哈西-西典家园,南岗,2600
哈西-爱达九溪,南岗,1000
博物馆-人和街139号小区,南岗,499
哈西-西典家园,南岗,2600
文昌街-文海溪畔,南岗,1800
博物馆-人和街139号小区,南岗,499
省政府南岗片-第二方圆里小区,南岗,1000
哈西-辰能溪树庭院(商住楼),南岗,3800
哈达-鲁商凤凰城,南岗,2600
哈西-爱达壹号,南岗,1200
哈西-保利清华颐园,南岗,4580
哈西-信恒现代城雅园,南岗,1800
信恒现代城-学府经典(一期),南岗,1300
学府-供销合作社职工住宅楼,南岗,2500
南岗周边-红星城,南岗,1000
哈西-大众新城,南岗,2000
大众新城-阳光家园(北区),南岗,100
哈西-桥南小区,南岗,1800
西大直街-学府花园,南岗,900
学府-爱达尊御,南岗,1700
哈西-涧桥西畔,南岗,1700
哈西-铁路小区,南岗,2500
哈达-华润凯旋门,南岗,800
哈西-鑫泉金岗湾,南岗,800
南岗周边-天悦国际,南岗,1500
哈西-新发小区(F区),南岗,2300
儿童公园-辰能溪树庭院(北区),南岗,1800
哈西-芦家街小区,南岗,4500
十字街-学府经典,南岗,1000
学府-裕赐俯季,南岗,2300
黄河路-尚熙雅轩,南岗,2200
哈西-天宝小区,南岗,2200
省政府南岗片-金爵万象(二三期),南岗,1100
哈西-华润凯旋门,南岗,700
哈西-柒零捌零城仕公馆,南岗,5500
哈西-鲁商凤凰城,南岗,1900
哈达-建工小区,南岗,1700
宣化,南岗,750
宣化-建工小区,南岗,750
哈西-保利清华颐园,南岗,2200
哈西-金域蓝城,南岗,830
省人才-宣西电业小区,南岗,2050
复华小区-园丁小区,南岗,2000
宽城街-新发小区(C区),南岗,1000
哈西-南开华府,南岗,1800
通达街-二酉住宅小区,南岗,1700
哈西-辰能溪树庭院(南区),南岗,3200
学府-创建小区,南岗,850
